0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Edsby allé 42,2450000.0,Price per square meter:  34 028 kr/m²,Starting price: 2450000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 72,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 2020,Fee:  4 412 kr/mån,Driftskostnad:  7 800 kr/år,Number of visits: 5,,
Västra vägen 56,1035000.0,Price per square meter:  15 923 kr/m²,Starting price: 1050000,Price trend:  -15 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 65,Balcony:  Ja,"Floor:  6 av 7, hiss finns",Year built: 1965,Fee:  4 812 kr/mån,Number of visits: 1576,,,
Inägogatan 21B,2300000.0,Price per square meter:  42 202 kr/m²,Starting price: 2450000,Price trend:  -150 000 kr (-6 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 54.5,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 2016,Fee:  3 515 kr/mån,Driftskostnad:  4 920 kr/år,Number of visits: 4362,,
Solvändan 11G,1795000.0,Price per square meter:  52 794 kr/m²,Starting price: 1795000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 34,Balcony:  Nej,"Floor:  2, hiss finns",Year built: 2021,Fee:  2 790 kr/mån,Number of visits: 707,,,
"Norr Mälarstrand 100, 2 Tr",3150000.0,Price per square meter:  116 667 kr/m²,Starting price: 2695000,Price trend:  +455 000 kr (+17 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 27,Balcony:  Ja,"Floor:  2, hiss finns",Year built: 1939,Fee:  1 785 kr/mån,Driftskostnad:  4 560 kr/år,Number of visits: 2120,,
Grev Turegatan 62,4100000.0,Price per square meter:  151 852 kr/m²,Starting price: 3595000,Price trend:  +505 000 kr (+14 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 27,Balcony:  Ja,"Floor:  4 av 6, hiss finns",Year built: 1937,Fee:  1 695 kr/mån,Driftskostnad:  6 300 kr/år,Number of visits: 1732,,
Norrlandsgatan 19,3660000.0,Price per square meter:  40 000 kr/m²,Starting price: 3575000,Price trend:  +85 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 91.5,Balcony:  Ja,Floor:  2 av 3,Year built: 1946,Fee:  6 016 kr/mån,Driftskostnad:  8 220 kr/år,Number of visits: 1079,,
"Lindhagensterrassen 9, 12 tr",3250000.0,Price per square meter:  83 333 kr/m²,Starting price: 3195000,Price trend:  +55 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 39,Balcony:  Ja,"Floor:  12, hiss finns",Fee:  2 272 kr/mån,Driftskostnad:  3 480 kr/år,Number of visits: 3166,,,
Trädgårdsgatan 19,3850000.0,Price per square meter:  65 254 kr/m²,Starting price: 3395000,Price trend:  +455 000 kr (+13 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59,Balcony:  Ja,"Floor:  4 av 9, hiss finns",Year built: 1960,Fee:  3 253 kr/mån,Driftskostnad:  3 500 kr/år,Number of visits: 1737,,
Leopoldsgatan 16,1400000.0,Price per square meter:  22 951 kr/m²,Starting price: 1295000,Price trend:  +105 000 kr (+8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 61,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1972,Fee:  4 216 kr/mån,Number of visits: 1145,,
Råbyvägen 84,1465000.0,Price per square meter:  32 556 kr/m²,Starting price: 1495000,Price trend:  -30 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 45,Balcony:  Ja,"Floor:  3, hiss finns",Year built: 2018,Fee:  3 761 kr/mån,Number of visits: 1223,,,
"Alfons Åbergs Gata 5, vån 2",3400000.0,Price per square meter:  53 125 kr/m²,Starting price: 3250000,Price trend:  +150 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 64,Balcony:  Nej,"Floor:  2 av 5, hiss finns",Year built: 2013,Fee:  4 673 kr/mån,Driftskostnad:  8 400 kr/år,Number of visits: 370,,
"Klädesvägen 42, 6TR",3000000.0,Price per square meter:  69 767 kr/m²,Starting price: 2850000,Price trend:  +150 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 43,Balcony:  Ja,"Floor:  6 av 6, hiss finns",Year built: 2017,Fee:  3 908 kr/mån,Driftskostnad:  5 755 kr/år,Number of visits: 1834,,
Vattholmavägen 6C,2950000.0,Price per square meter:  36 420 kr/m²,Starting price: 2895000,Price trend:  +55 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 81,Balcony:  Ja,"Floor:  2, hiss finns",Year built: 2013,Fee:  4 986 kr/mån,Driftskostnad:  6 500 kr/år,Number of visits: 589,,
Trekungagatan 5,1300000.0,Price per square meter:  20 968 kr/m²,Starting price: 1395000,Price trend:  -95 000 kr (-7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 62,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1966,Fee:  5 145 kr/mån,Driftskostnad:  4 586 kr/år,Number of visits: 1635,,
Lagerbergsgatan 3,1950000.0,Price per square meter:  26 531 kr/m²,Starting price: 1995000,Price trend:  -45 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 73.5,Balcony:  Ja,"Floor:  4 av 6, hiss finns",Year built: 2019,Fee:  5 381 kr/mån,Driftskostnad:  10 800 kr/år,Number of visits: 1661,,
Kvadrantvägen 25,1775000.0,Price per square meter:  46 711 kr/m²,Starting price: 1795000,Price trend:  -20 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 38,Balcony:  Nej,Year built: 2018,Fee:  2 946 kr/mån,Driftskostnad:  3 600 kr/år,Number of visits: 4593,,,
Hamnvägen 2K,2195000.0,Price per square meter:  25 230 kr/m²,Starting price: 2195000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 87,Balcony:  Ja,"Floor:  1 av 3, hiss finns",Year built: 2023,Fee:  6 908 kr/mån,Driftskostnad:  6 655 kr/år,Number of visits: 5121,,
Lönngatan 56B,890000.0,Price per square meter:  21 190 kr/m²,Starting price: 925000,Price trend:  -35 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 42,"Floor:  4 av 4, hiss finns ej",Fee:  2 322 kr/mån,Driftskostnad:  9 372 kr/år,Number of visits: 2720,,,,
Banérgatan 33,18500000.0,Price per square meter:  162 281 kr/m²,Starting price: 18000000,Price trend:  +500 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 114,Balcony:  Ja,"Floor:  2 av 5, hiss finns",Year built: 1896,Fee:  6 995 kr/mån,Number of visits: 3875,,,
Storseglet 53,3650000.0,Price per square meter:  41 954 kr/m²,Starting price: 3695000,Price trend:  -45 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 87,Balcony:  Ja,"Floor:  3 av 7, hiss finns",Year built: 2019,Fee:  5 947 kr/mån,Number of visits: 3011,,,
Mattvägen 7,4870000.0,Price per square meter:  67 639 kr/m²,Starting price: 4495000,Price trend:  +375 000 kr (+8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 72,Balcony:  Ja,"Floor:  2, hiss finns",Year built: 2009,Fee:  5 491 kr/mån,Driftskostnad:  10 200 kr/år,Number of visits: 369,,
Turebergs Allé 5,3325000.0,Price per square meter:  44 751 kr/m²,Starting price: 3495000,Price trend:  -170 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 74.3,Balcony:  Nej,Uteplats:  Ja,Year built: 1999,Fee:  5 205 kr/mån,Driftskostnad:  4 800 kr/år,Number of visits: 2104,,
Emanuel Birkes väg 2,970000.0,Price per square meter:  22 045 kr/m²,Starting price: 970000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 44,Balcony:  Ja,"Floor:  7 av 9, hiss finns",Year built: 1971,Fee:  4 758 kr/mån,Number of visits: 1142,,,
Källängsvägen 32,5175000.0,Price per square meter:  59 483 kr/m²,Starting price: 5350000,Price trend:  -175 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 87,Balcony:  Ja,"Floor:  4 av 9, hiss finns",Year built: 1959,Fee:  6 471 kr/mån,Number of visits: 3232,,,
Valhallavägen 73,10350000.0,Price per square meter:  108 947 kr/m²,Starting price: 9995000,Price trend:  +355 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 95,Balcony:  Ja,"Floor:  5 av 6, hiss finns",Year built: 1931,Fee:  7 301 kr/mån,Driftskostnad:  5 385 kr/år,Number of visits: 4152,,
Hägerneholmsvägen 6A,1295000.0,Price per square meter:  39 242 kr/m²,Starting price: 1295000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 33,Balcony:  Nej,"Floor:  1 av 5, hiss finns",Year built: 2018,Fee:  3 246 kr/mån,Number of visits: 1578,,,
Silverdalsvägen 29,3300000.0,Price per square meter:  58 407 kr/m²,Starting price: 3200000,Price trend:  +100 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2.5,Living area: 56.5,Balcony:  Ja,"Floor:  5 av 6, hiss finns",Year built: 2009,Fee:  3 142 kr/mån,Driftskostnad:  4 800 kr/år,Number of visits: 830,,
Trekungagatan 3,1460000.0,Price per square meter:  23 548 kr/m²,Starting price: 1650000,Price trend:  -190 000 kr (-12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 62,Balcony:  Ja,"Floor:  2, hiss finns ej",Year built: 1966,Fee:  5 145 kr/mån,Driftskostnad:  5 400 kr/år,Number of visits: 4771,,
Stenstaliden 6B,285000.0,Price per square meter:  4 524 kr/m²,Starting price: 235000,Price trend:  +50 000 kr (+21 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 63,Balcony:  Ja,"Floor:  5 av 6, hiss finns",Year built: 1970,Fee:  3 223 kr/mån,Number of visits: 2020,,,
"Upplandsgatan 75A, 2 tr",9350000.0,Price per square meter:  139 552 kr/m²,Starting price: 7995000,Price trend:  +1 355 000 kr (+17 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 67,Balcony:  Ja,"Floor:  2 av 3, hiss finns",Year built: 1902,Fee:  2 582 kr/mån,Number of visits: 6774,,,
Stagneliusvägen 32,3550000.0,Price per square meter:  77 174 kr/m²,Starting price: 3550000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 46,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 1939,Fee:  3 722 kr/mån,Driftskostnad:  9 122 kr/år,Number of visits: 1855,,
Robert Almströmsgatan 9A,6400000.0,Price per square meter:  114 286 kr/m²,Starting price: 5795000,Price trend:  +605 000 kr (+10 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,Balcony:  Nej,"Floor:  1,5 av 6, hiss finns",Year built: 1928,Fee:  2 732 kr/mån,Driftskostnad:  6 600 kr/år,Number of visits: 1748,,
"Dartanjangs Gata 16, 4 tr",4650000.0,Price per square meter:  55 689 kr/m²,Starting price: 4495000,Price trend:  +155 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 83.5,Balcony:  Ja,"Floor:  4 av 4, hiss finns",Year built: 2014,Fee:  4 387 kr/mån,Driftskostnad:  12 000 kr/år,Number of visits: 1679,,
Tallrotsgatan 15,1200000.0,Price per square meter:  20 339 kr/m²,Starting price: 1295000,Price trend:  -95 000 kr (-7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59,Balcony:  Ja,"Floor:  1 av 3, hiss finns ej",Year built: 1959,Fee:  3 500 kr/mån,Driftskostnad:  5 940 kr/år,Number of visits: 2625,,
Storåkersgatan 111,1400000.0,Price per square meter:  15 385 kr/m²,Starting price: 1595000,Price trend:  -195 000 kr (-12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 91,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 1967,Fee:  3 914 kr/mån,Driftskostnad:  3 822 kr/år,Number of visits: 3442,,
"Meitens Väg 3, 2tr",1875000.0,Price per square meter:  31 250 kr/m²,Starting price: 1875000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 60,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1964,Fee:  5 112 kr/mån,Driftskostnad:  6 420 kr/år,Number of visits: 426,,
Terrassvägen 32,1850000.0,Price per square meter:  17 371 kr/m²,Starting price: 1900000,Price trend:  -50 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 106.5,Year built: 1962,Fee:  4 908 kr/mån,Number of visits: 1897,,,,,
Hinderbanan 22,1850000.0,Price per square meter:  44 048 kr/m²,Starting price: 1850000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 42,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 5, hiss finns",Year built: 2013,Fee:  3 277 kr/mån,Driftskostnad:  9 360 kr/år,Number of visits: 2490,
Folkungagatan 104,7600000.0,Price per square meter:  122 581 kr/m²,Starting price: 6950000,Price trend:  +650 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 62,Balcony:  Ja,"Floor:  1, hiss finns",Year built: 1885,Fee:  3 632 kr/mån,Driftskostnad:  9 576 kr/år,Number of visits: 5184,,
Saarisvägen 14A,590000.0,Price per square meter:  16 033 kr/m²,Starting price: 690000,Price trend:  -100 000 kr (-14 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 36.8,Balcony:  Nej,"Floor:  1 av 5, hiss finns",Year built: 1938,Fee:  2 977 kr/mån,Number of visits: 2815,,,
Viktoriagatan 31,830000.0,Price per square meter:  13 071 kr/m²,Starting price: 795000,Price trend:  +35 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 63.5,Uteplats:  Ja,"Floor:  1 av 1, hiss finns ej",Year built: 1991,Fee:  4 700 kr/mån,Driftskostnad:  4 671 kr/år,Number of visits: 2549,,
Hallebergsliden 16,1590000.0,Price per square meter:  23 731 kr/m²,Starting price: 1595000,Price trend:  -5 000 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 67,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Fee:  3 900 kr/mån,Driftskostnad:  6 600 kr/år,Number of visits: 541,,
Skarplöts allé 5f,1840000.0,Price per square meter:  35 385 kr/m²,Starting price: 1795000,Price trend:  +45 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 52,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 2012,Fee:  4 288 kr/mån,Driftskostnad:  5 300 kr/år,Number of visits: 2140,,
Skogalundsklippan 14,2395000.0,Price per square meter:  40 252 kr/m²,Starting price: 2495000,Price trend:  -100 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 59.5,Balcony:  Ja,"Floor:  2 av 4, hiss finns",Year built: 1984,Fee:  4 248 kr/mån,Driftskostnad:  4 200 kr/år,Number of visits: 4089,,
"Cedergrensvägen 50, 3 tr.",2690000.0,Price per square meter:  76 857 kr/m²,Starting price: 2495000,Price trend:  +195 000 kr (+8 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 35,Balcony:  Nej,"Floor:  3 av 3, hiss finns ej",Year built: 1939,Fee:  3 206 kr/mån,Driftskostnad:  8 551 kr/år,Number of visits: 1134,,
Telivägen 5,1795000.0,Price per square meter:  46 026 kr/m²,Starting price: 1795000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 39,Balcony:  Ja,"Floor:  3 av 7, hiss finns",Year built: 2021,Fee:  3 467 kr/mån,Number of visits: 3612,,,
"Ottsjövägen 27, 3 tr",5650000.0,Price per square meter:  73 377 kr/m²,Starting price: 5495000,Price trend:  +155 000 kr (+3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 77,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 1947,Fee:  5 817 kr/mån,Driftskostnad:  7 800 kr/år,Number of visits: 3251,,
"Ringvägen 138, 5tr",7000000.0,Price per square meter:  92 105 kr/m²,Starting price: 6250000,Price trend:  +750 000 kr (+12 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 76,Balcony:  Nej,"Floor:  5, hiss finns",Year built: 1974,Fee:  5 190 kr/mån,Number of visits: 1749,,,
Radiovägen 19,8275000.0,Price per square meter:  97 353 kr/m²,Starting price: 7850000,Price trend:  +425 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 85,Balcony:  Ja,"Floor:  3 av 4, hiss finns",Year built: 2012,Fee:  5 250 kr/mån,Driftskostnad:  3 720 kr/år,Number of visits: 2116,,
Eskadervägen 42,2550000.0,Price per square meter:  43 590 kr/m²,Starting price: 2595000,Price trend:  -45 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 58.5,Balcony:  Ja,"Floor:  2 av 7, hiss finns",Year built: 1960,Fee:  4 349 kr/mån,Driftskostnad:  6 468 kr/år,Number of visits: 1156,,
Kaserngatan 25 B,1480000.0,Price per square meter:  24 302 kr/m²,Starting price: 1495000,Price trend:  -15 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 60.9,Balcony:  Ja,"Floor:  2 av 3, hiss finns ej",Year built: 1947,Fee:  4 043 kr/mån,Driftskostnad:  7 020 kr/år,Number of visits: 1618,,
Atlasvägen 49,3200000.0,Price per square meter:  64 646 kr/m²,Starting price: 2995000,Price trend:  +205 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 49.5,Balcony:  Ja,"Floor:  1 av 4, hiss finns ej",Fee:  2 615 kr/mån,Driftskostnad:  6 120 kr/år,Number of visits: 1263,,,
Hjorttackegatan 17,3995000.0,Price per square meter:  60 530 kr/m²,Starting price: 4195000,Price trend:  -200 000 kr (-5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 66,Balcony:  Ja,"Floor:  2 av 4, hiss finns",Year built: 1907,Fee:  4 382 kr/mån,Driftskostnad:  11 070 kr/år,Number of visits: 6306,,
Karl johansgatan 60B,2525000.0,Price per square meter:  63 125 kr/m²,Starting price: 2495000,Price trend:  +30 000 kr (+1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1.5,Living area: 40,Balcony:  Nej,"Floor:  1 av 4, hiss finns ej",Year built: 1910,Fee:  3 189 kr/mån,Driftskostnad:  7 608 kr/år,Number of visits: 2667,,
Lagmansgatan 30C,1895000.0,Price per square meter:  28 712 kr/m²,Starting price: 1895000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 66,Balcony:  Ja,"Floor:  1 av 7, hiss finns",Year built: 2022,Fee:  4 387 kr/mån,Number of visits: 1306,,,
Sågarevägen 1D,480000.0,Price per square meter:  7 619 kr/m²,Starting price: 450000,Price trend:  +30 000 kr (+7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 63,Balcony:  Nej,Uteplats:  Ja,Year built: 1988,Fee:  3 329 kr/mån,Driftskostnad:  15 444 kr/år,Number of visits: 1853,,
Högalidsgatan 40 C,6200000.0,Price per square meter:  116 981 kr/m²,Price trend:  Utgångspris saknas,Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 53,Uteplats:  Ja,Year built: 1915,Fee:  2 453 kr/mån,Driftskostnad:  7 266 kr/år,Number of visits: 636,,,,
Lottgatan 14A,1395000.0,Price per square meter:  26 827 kr/m²,Starting price: 1395000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 52,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 1946,Fee:  3 420 kr/mån,Driftskostnad:  4 800 kr/år,Number of visits: 2224,,
"Korphoppsgatan 33, 6tr",9770000.0,Price per square meter:  93 582 kr/m²,Starting price: 9995000,Price trend:  -225 000 kr (-2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 104.4,Balcony:  Ja,"Floor:  6 av 6, hiss finns",Year built: 2002,Fee:  9 024 kr/mån,Driftskostnad:  6 000 kr/år,Number of visits: 10097,,
Ponnygatan 2B,1595000.0,Price per square meter:  41 974 kr/m²,Starting price: 1595000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 38,Balcony:  Ja,"Floor:  0 av 3, hiss finns ej",Year built: 1966,Fee:  4 061 kr/mån,Driftskostnad:  4 403 kr/år,Number of visits: 2163,,
Getvallsvägen 7B,5000000.0,Price per square meter:  94 340 kr/m²,Starting price: 4595000,Price trend:  +405 000 kr (+9 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 53,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 2, hiss finns ej",Year built: 2007,Fee:  2 300 kr/mån,Driftskostnad:  9 000 kr/år,Number of visits: 1471,
Mariehemsvägen 112,1200000.0,Price per square meter:  18 898 kr/m²,Starting price: 1295000,Price trend:  -95 000 kr (-7 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 63.5,Balcony:  Ja,"Floor:  5 av 6, hiss finns",Year built: 2007,Fee:  5 939 kr/mån,Driftskostnad:  4 558 kr/år,Number of visits: 1502,,
Uppegårdsvägen 4,885000.0,Price per square meter:  14 508 kr/m²,Starting price: 895000,Price trend:  -10 000 kr (-1 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 61,Balcony:  Ja,"Floor:  1, hiss finns ej",Year built: 1966,Fee:  4 390 kr/mån,Driftskostnad:  6 000 kr/år,Number of visits: 711,,
Gribbyvägen 5C,3200000.0,Price per square meter:  42 667 kr/m²,Starting price: 3295000,Price trend:  -95 000 kr (-3 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 75,Biarea:  7 m²,Balcony:  Ja,"Floor:  2 av 2, hiss finns ej",Year built: 2001,Fee:  5 436 kr/mån,Number of visits: 595,,
"Brevvägen 9, 1tr",2600000.0,Price per square meter:  57 778 kr/m²,Starting price: 2495000,Price trend:  +105 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 45,Balcony:  Ja,"Floor:  1, hiss finns",Year built: 1949,Fee:  3 317 kr/mån,Driftskostnad:  8 160 kr/år,Number of visits: 3403,,
Tunagatan 5A,3000000.0,Price per square meter:  35 842 kr/m²,Starting price: 2895000,Price trend:  +105 000 kr (+4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 83.7,Balcony:  Ja,"Floor:  1 av 4, hiss finns ej",Year built: 1948,Fee:  4 617 kr/mån,Driftskostnad:  11 040 kr/år,Number of visits: 1077,,
Folkungagatan 108,4400000.0,Price per square meter:  115 789 kr/m²,Starting price: 3795000,Price trend:  +605 000 kr (+16 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 38,Balcony:  Nej,Uteplats:  Ja,"Floor:  1 av 5, hiss finns",Year built: 1947,Fee:  1 328 kr/mån,Driftskostnad:  8 304 kr/år,Number of visits: 4001,
"Fredsborgsgatan 1, 4 tr!",6500000.0,Price per square meter:  78 313 kr/m²,Starting price: 6195000,Price trend:  +305 000 kr (+5 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 4,Living area: 83,Balcony:  Ja,"Floor:  4 av 7, hiss finns",Year built: 2009,Fee:  5 144 kr/mån,Driftskostnad:  7 850 kr/år,Number of visits: 3432,,
Marierovägen 35H,1300000.0,Price per square meter:  16 883 kr/m²,Starting price: 1275000,Price trend:  +25 000 kr (+2 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 77,"Floor:  1 av 1, hiss finns ej",Year built: 1962,Fee:  4 216 kr/mån,Driftskostnad:  4 000 kr/år,Number of visits: 2329,,,
Österlånggatan 8/ Bollhusgränd 3A,12150000.0,Price per square meter:  105 652 kr/m²,Starting price: 14375000,Price trend:  -2 225 000 kr (-15 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 115,Balcony:  Nej,"Floor:  4 av 5, hiss finns",Year built: 1635,Fee:  5 711 kr/mån,Driftskostnad:  7 500 kr/år,Number of visits: 11703,,
Tullgatan 7A,2695000.0,Price per square meter:  48 125 kr/m²,Starting price: 2795000,Price trend:  -100 000 kr (-4 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 2,Living area: 56,"Floor:  2 av 4, hiss finns ej",Year built: 1935,Fee:  4 181 kr/mån,Driftskostnad:  7 748 kr/år,Number of visits: 2055,,,
"Nordenbergsvägen, 11 A",100000.0,Price per square meter:  2 564 kr/m²,Starting price: 120000,Price trend:  -20 000 kr (-17 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 39,"Floor:  2 av 2, hiss finns ej",Year built: 1954,Fee:  2 359 kr/mån,Driftskostnad:  3 514 kr/år,Number of visits: 1404,,,
Forssjö Bruksgården 3 A,1550000.0,Price per square meter:  20 946 kr/m²,Starting price: 1795000,Price trend:  -245 000 kr (-14 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 3,Living area: 74,Balcony:  Ja,Uteplats:  Ja,"Floor:  2 av 3, hiss finns",Year built: 2018,Fee:  6 241 kr/mån,Driftskostnad:  5 150 kr/år,Number of visits: 1228,
Diagonalen 2B 1301,1495000.0,Price per square meter:  42 714 kr/m²,Starting price: 1495000,Price trend:  0 kr (±0 %),Property type:  Lägenhet,Tenure type:  Bostadsrätt,Number of rooms: 1,Living area: 35,"Floor:  3 av 6, hiss finns",Year built: 2025,Fee:  2 713 kr/mån,,,,,
